Species,bodyLengthMm,clutchSizeMinN,clutchSizeMaxN,habitatType,reproductiveMethod
calotriton asper,160.0,20.0,30.0,terrestrial + aquatic,larval
dicamptodon copei,191.0,25.0,115.0,terrestrial + aquatic,larval
taudactylus rheophilus,30.0,35.0,50.0,terrestrial + aquatic,larval
incilius alvarius,165.0,7500.0,8000.0,terrestrial,larval
occidozyga laevis,48.0,107.0,140.0,fossorial + aquatic,larval
meristogenys amoropalamus,67.4,232.0,232.0,fossorial + terrestrial + aquatic,larval
anaxyrus compactilis,91.0,5000.0,5000.0,terrestrial,larval
pelobates cultripes,110.0,2500.0,2500.0,fossorial + terrestrial + aquatic,larval
rana boylii,73.0,200.0,980.0,terrestrial + aquatic + arboreal,larval
hoplobatrachus tigerinus,178.0,5750.0,5750.0,terrestrial + aquatic + arboreal,larval
eleutherodactylus leberi,33.0,27.0,27.0,terrestrial + aquatic + arboreal,direct
ambystoma opacum,127.0,100.0,100.0,terrestrial + aquatic,larval
epipedobates boulengeri,21.8,11.0,29.0,terrestrial + aquatic,larval
anotheca spinosa,80.0,48.0,317.0,terrestrial + aquatic + arboreal,larval
pipa aspera,45.0,12.0,26.0,fossorial + aquatic,direct
phyllobates lugubris,24.0,5.0,30.0,terrestrial + aquatic,larval
acanthixalus spinosus,38.3,8.0,10.0,terrestrial + aquatic + arboreal,larval
eleutherodactylus nivicolimae,23.5,12.0,12.0,terrestrial + aquatic + arboreal,direct
gegeneophis carnosus,280.0,5.0,15.0,fossorial + terrestrial + aquatic,direct
rhinella crucifer,130.0,2000.0,2000.0,terrestrial,larval
phyllomedusa hypochondrialis,46.0,25.0,300.0,terrestrial + aquatic + arboreal,larval
oxydactyla stenodactyla,32.0,23.0,23.0,terrestrial + aquatic,direct
ranitomeya amazonica,19.0,1.0,6.0,terrestrial + arboreal,larval
xenopus muelleri,90.0,436.0,436.0,terrestrial + aquatic + arboreal,larval
syncope antenori,14.0,5.0,6.0,terrestrial + arboreal,direct
litoria australis,100.0,150.0,4000.0,fossorial + terrestrial,larval
lissotriton italicus,80.0,400.0,400.0,terrestrial,larval
nanorana parkeri,55.0,103.0,399.0,terrestrial + aquatic + arboreal,larval
incilius holdridgei,53.0,45.0,137.0,fossorial + terrestrial,larval
pseudacris feriarum,38.0,18.0,600.0,fossorial + terrestrial + aquatic,larval
neobatrachus aquilonius,60.0,1426.0,1426.0,fossorial + terrestrial + aquatic,larval
phrynobatrachus plicatus,41.5,1900.0,1900.0,terrestrial + aquatic + arboreal,larval
gracixalus gracilipes,29.5,2.0,8.0,arboreal,larval
scinax cruentommus,32.0,80.0,1200.0,terrestrial + arboreal,larval
edalorhina perezi,38.0,69.0,154.0,terrestrial + aquatic,larval
leptodactylus rhodomystax,90.0,247.0,290.0,terrestrial + aquatic,larval
nanorana ventripunctata,49.4,290.0,332.0,terrestrial + aquatic + arboreal,larval
dendropsophus minutus,27.6,160.0,424.0,terrestrial + arboreal,larval
nanorana taihangnica,103.4,302.0,611.0,terrestrial,larval
scutiger jiulongensis,75.0,990.0,990.0,terrestrial + aquatic + arboreal,larval
lepidobatrachus llanensis,100.0,3696.0,3696.0,fossorial,larval
microhyla heymonsi,30.4,157.0,350.0,terrestrial + aquatic,larval
nyctibatrachus kempholeyensis,24.4,10.0,10.0,terrestrial + aquatic + arboreal,larval
plethodon vehiculum,115.0,19.0,19.0,terrestrial + aquatic,direct
pseudacris streckeri,48.0,200.0,450.0,fossorial + terrestrial + aquatic,larval
allobates talamancae,25.0,18.0,50.0,terrestrial + aquatic,larval
nymphargus wileyi,31.9,28.0,28.0,terrestrial + aquatic + arboreal,larval
adelphobates galactonotus,40.5,5.0,15.0,terrestrial,larval
rana johnsi,46.5,1500.0,1600.0,terrestrial + aquatic + arboreal,larval
agalychnis moreletii,85.0,12.0,218.0,terrestrial + arboreal,larval
proceratophrys boiei,74.3,1296.0,1296.0,terrestrial + aquatic,larval
stefania coxi,70.0,4.0,8.0,arboreal,direct
physalaemus kroyeri,35.0,949.0,1968.0,terrestrial + aquatic,larval
chioglossa lusitanica,160.0,20.0,20.0,terrestrial + aquatic,larval
scinax funereus,43.0,225.0,740.0,terrestrial + arboreal,larval
austrochaperina palmipes,49.0,12.0,19.0,terrestrial + aquatic,direct
rana tsushimensis,49.8,300.0,500.0,terrestrial + aquatic + arboreal,larval
hyla femoralis,44.0,232.0,2000.0,terrestrial + arboreal,larval
rhacophorus dennysi,128.2,2625.0,2625.0,terrestrial + arboreal,larval
oreolalax granulosus,59.0,110.0,110.0,terrestrial + aquatic + arboreal,larval
fejervarya limnocharis,65.0,1560.0,1561.0,terrestrial + aquatic + arboreal,larval
plethodon hoffmani,137.0,3.0,8.0,terrestrial + aquatic,direct
thoropa petropolitana,27.0,33.0,33.0,terrestrial + aquatic + arboreal,larval
dendropsophus ruschii,29.0,10.0,20.0,terrestrial + aquatic + arboreal,larval
gastrotheca andaquiensis,77.0,10.0,10.0,terrestrial + arboreal,direct
ecnomiohyla miliaria,113.0,265.0,265.0,aquatic + arboreal,larval
incilius luetkenii,107.0,3300.0,5600.0,terrestrial,larval
plectrohyla ixil,47.0,98.0,130.0,terrestrial + aquatic + arboreal,larval
cycloramphus faustoi,44.0,20.0,31.0,terrestrial,larval
scutiger tuberculatus,79.0,436.0,436.0,terrestrial + aquatic + arboreal,larval
adenomus kelaartii,50.0,1000.0,1000.0,terrestrial + aquatic + arboreal,larval
lithobates septentrionalis,76.0,500.0,2250.0,terrestrial + aquatic,larval
phasmahyla jandaia,32.0,18.0,30.0,terrestrial + arboreal,larval
ptychadena oxyrhynchus,85.0,3500.0,3500.0,terrestrial + aquatic + arboreal,larval
atelopus varius,60.0,18.0,950.0,terrestrial + aquatic,larval
oreophryne anthonyi,47.0,18.0,31.0,terrestrial + arboreal,direct
dermophis gracilior,387.0,2.0,16.0,fossorial + terrestrial + aquatic,viviparous
silverstoneia flotator,18.3,6.0,6.0,terrestrial,larval
cophixalus aenigma,22.6,17.0,17.0,terrestrial + aquatic,direct
microhyla ornata,32.0,225.0,225.0,fossorial + terrestrial + aquatic,larval
ichthyophis bannanicus,378.5,24.0,68.0,fossorial + terrestrial + aquatic,larval
siren lacertina,978.0,100.0,1400.0,fossorial + terrestrial + aquatic,larval
thoropa saxatilis,58.0,33.0,33.0,terrestrial + aquatic + arboreal,larval
arthroleptella drewesii,20.0,10.0,10.0,terrestrial + aquatic,direct
hemiphractus johnsoni,77.2,18.0,18.0,terrestrial + aquatic,direct
petropedetes perreti,48.5,84.0,84.0,terrestrial + aquatic + arboreal,larval
amolops chunganensis,54.3,436.0,437.0,terrestrial + aquatic + arboreal,larval
litoria pallida,41.0,50.0,350.0,terrestrial + aquatic + arboreal,larval
eleutherodactylus amplinympha,50.0,4.0,32.0,arboreal,direct
siphonops paulensis,470.0,4.0,6.0,fossorial + terrestrial + aquatic,direct
gastrotheca cornuta,81.1,7.0,15.0,terrestrial + arboreal,direct
pseudohynobius shuichengensis,213.2,22.0,54.0,terrestrial + aquatic,larval
hamptophryne boliviana,44.0,280.0,2186.0,terrestrial + aquatic,larval
agalychnis saltator,66.0,25.0,311.0,terrestrial + arboreal,larval
heleioporus albopunctatus,100.0,250.0,700.0,fossorial + terrestrial + aquatic,larval
odorrana jingdongensis,108.0,150.0,150.0,terrestrial + aquatic,larval
melanophryne carpish,34.5,83.0,83.0,terrestrial,larval
chiromantis simus,22.0,153.0,234.0,arboreal,larval
eleutherodactylus rivularis,31.0,42.0,42.0,terrestrial + aquatic + arboreal,direct
philoria kundagungan,30.0,32.0,51.0,terrestrial + aquatic + arboreal,larval
